iso_code;continent;location;date;new_cases;total_cases;new_deaths;total_deaths
VAT;Europe;Vatican;2021-09-25;0.0;27.0;;
SUR;South America;Suriname;2021-04-07;16.0;9200.0;0.0;178.0
IRL;Europe;Ireland;2020-08-27;90.0;28453.0;0.0;1777.0
ERI;Africa;Eritrea;2021-04-16;5.0;3491.0;0.0;10.0
MNE;Europe;Montenegro;2020-06-22;5.0;367.0;0.0;9.0
UKR;Europe;Ukraine;2020-03-14;0.0;3.0;0.0;1.0
BHS;North America;Bahamas;2020-08-05;36.0;751.0;0.0;14.0
GAB;Africa;Gabon;2021-03-02;0.0;14849.0;0.0;87.0
LUX;Europe;Luxembourg;2020-11-13;713.0;25931.0;8.0;219.0
CPV;Africa;Cape Verde;2022-03-04;1.0;55890.0;0.0;401.0
AIA;North America;Anguilla;2020-07-13;0.0;3.0;;
MCO;Europe;Monaco;2022-03-15;74.0;9901.0;0.0;52.0
SDN;Africa;Sudan;2020-11-02;15.0;13819.0;0.0;837.0
COD;Africa;Democratic Republic of Congo;2022-02-12;0.0;85776.0;0.0;1316.0
ROU;Europe;Romania;2020-04-06;193.0;4057.0;25.0;176.0
BGD;Asia;Bangladesh;2021-05-19;1608.0;783737.0;37.0;12248.0
OWID_EUR;;Europe;2022-01-12;1388040.0;100973891.0;3918.0;1564790.0
NPL;Asia;Nepal;2020-08-21;838.0;30483.0;11.0;137.0
MKD;Europe;North Macedonia;2022-01-10;813.0;234277.0;10.0;8042.0
ROU;Europe;Romania;2022-02-18;14524.0;2643614.0;135.0;62323.0
DNK;Europe;Denmark;2020-08-28;73.0;16700.0;0.0;624.0
MNG;Asia;Mongolia;2021-04-25;1264.0;30483.0;2.0;80.0
BES;North America;Bonaire Sint Eustatius and Saba;2021-09-16;7.0;1956.0;0.0;17.0
OWID_LMC;;Lower middle income;2021-09-29;102877.0;59853902.0;2092.0;1057277.0
TCD;Africa;Chad;2021-06-26;0.0;4951.0;0.0;174.0
CHN;Asia;China;2021-04-20;28.0;99200.0;0.0;4636.0
MWI;Africa;Malawi;2020-07-23;0.0;3302.0;0.0;76.0
SLV;North America;El Salvador;2022-04-07;0.0;161570.0;0.0;4121.0
TCD;Africa;Chad;2021-09-18;1.0;5026.0;0.0;174.0
ARM;Asia;Armenia;2021-01-31;125.0;167026.0;9.0;3080.0
TWN;Asia;Taiwan;2021-07-17;12.0;15390.0;1.0;764.0
RWA;Africa;Rwanda;2021-11-10;19.0;100019.0;0.0;1335.0
DJI;Africa;Djibouti;2020-11-02;10.0;5573.0;0.0;61.0
AFG;Asia;Afghanistan;2020-04-29;124.0;1827.0;0.0;60.0
MAR;Africa;Morocco;2021-01-18;473.0;460144.0;35.0;7977.0
OWID_OCE;;Oceania;2021-07-25;791.0;96626.0;9.0;1475.0
NCL;Oceania;New Caledonia;2021-12-17;24.0;12581.0;0.0;280.0
BTN;Asia;Bhutan;2021-09-02;0.0;2596.0;0.0;3.0
MRT;Africa;Mauritania;2021-12-13;28.0;39834.0;1.0;850.0
BMU;North America;Bermuda;2021-05-18;2.0;2479.0;0.0;32.0
HKG;Asia;Hong Kong;2021-10-14;1.0;12276.0;0.0;213.0
MDG;Africa;Madagascar;2021-06-10;54.0;41840.0;1.0;875.0
HKG;Asia;Hong Kong;2020-04-05;29.0;882.0;0.0;4.0
KHM;Asia;Cambodia;2022-01-09;30.0;120621.0;0.0;3015.0
CHL;South America;Chile;2022-04-08;4113.0;3504783.0;43.0;56955.0
SWZ;Africa;Eswatini;2021-10-25;3.0;46387.0;1.0;1242.0
KAZ;Asia;Kazakhstan;2021-08-07;8604.0;697580.0;0.0;9909.0
ESP;Europe;Spain;2020-12-11;10519.0;1730575.0;280.0;47624.0
MCO;Europe;Monaco;2021-10-02;0.0;3314.0;0.0;33.0
GAB;Africa;Gabon;2020-07-13;84.0;6026.0;0.0;46.0
BHR;Asia;Bahrain;2021-11-17;20.0;277282.0;0.0;1393.0
URY;South America;Uruguay;2020-04-27;14.0;620.0;0.0;15.0
MUS;Africa;Mauritius;2021-08-15;358.0;5965.0;0.0;21.0
PRT;Europe;Portugal;2020-04-28;295.0;24322.0;20.0;948.0
PSE;Asia;Palestine;2020-03-06;3.0;7.0;;
KEN;Africa;Kenya;2021-03-02;345.0;106470.0;4.0;1863.0
OWID_HIC;;High income;2020-10-30;364494.0;18401924.0;3454.0;482282.0
LKA;Asia;Sri Lanka;2020-04-30;14.0;663.0;0.0;7.0
GRL;North America;Greenland;2021-07-17;3.0;72.0;;
ESP;Europe;Spain;2021-07-15;27688.0;4069162.0;41.0;81084.0
OWID_SAM;;South America;2021-03-13;100342.0;19198963.0;2936.0;578695.0
KAZ;Asia;Kazakhstan;2021-01-24;1496.0;225891.0;79.0;3035.0
NCL;Oceania;New Caledonia;2020-07-16;0.0;22.0;;
BLR;Europe;Belarus;2021-01-21;1804.0;232298.0;9.0;1619.0
PAN;North America;Panama;2022-04-09;0.0;766504.0;0.0;8174.0
ISL;Europe;Iceland;2021-09-07;27.0;11090.0;0.0;33.0
TUN;Africa;Tunisia;2021-04-25;1770.0;300342.0;73.0;10304.0
UZB;Asia;Uzbekistan;2022-01-02;88.0;199118.0;0.0;1485.0
STP;Africa;Sao Tome and Principe;2021-06-11;1.0;2356.0;0.0;37.0
DEU;Europe;Germany;2020-02-12;0.0;16.0;;
SYR;Asia;Syria;2021-08-05;15.0;26059.0;0.0;1919.0
OWID_LMC;;Lower middle income;2021-10-31;80044.0;62296988.0;1182.0;1106397.0
KNA;North America;Saint Kitts and Nevis;2021-05-14;0.0;45.0;;
GMB;Africa;Gambia;2020-05-07;1.0;18.0;0.0;1.0
CUW;North America;Curacao;2020-10-03;18.0;429.0;0.0;1.0
OWID_KOS;Europe;Kosovo;2020-03-31;12.0;106.0;0.0;1.0
PER;South America;Peru;2020-10-09;2952.0;838614.0;151.0;83666.0
MNG;Asia;Mongolia;2021-09-12;4366.0;265578.0;25.0;1046.0
MYS;Asia;Malaysia;2022-04-16;9705.0;4382402.0;12.0;35409.0
MAC;Asia;Macao;2021-04-13;0.0;49.0;;
AUT;Europe;Austria;2021-11-24;15365.0;1095297.0;66.0;12180.0
AIA;North America;Anguilla;2020-08-18;0.0;3.0;;
