iso_code;continent;location;date;total_cases;new_cases;total_deaths;new_deaths;reproduction_rate
COL;South America;Colombia;29/05/2020;26688.0;1322.0;853.0;31.0;1.37
COL;South America;Colombia;30/05/2020;28236.0;1548.0;890.0;37.0;1.36
COL;South America;Colombia;31/05/2020;29383.0;1147.0;939.0;49.0;1.31
COL;South America;Colombia;1/06/2020;30493.0;1110.0;969.0;30.0;1.28
COL;South America;Colombia;2/06/2020;31833.0;1340.0;1009.0;40.0;1.28
COL;South America;Colombia;3/06/2020;33354.0;1521.0;1045.0;36.0;1.28
COL;South America;Colombia;4/06/2020;35120.0;1766.0;1087.0;42.0;1.26
COL;South America;Colombia;5/06/2020;36635.0;1515.0;1145.0;58.0;1.2
COL;South America;Colombia;6/06/2020;38027.0;1392.0;1205.0;60.0;1.16
COL;South America;Colombia;7/06/2020;39236.0;1209.0;1259.0;54.0;1.14
COL;South America;Colombia;8/06/2020;40719.0;1483.0;1308.0;49.0;1.16
COL;South America;Colombia;9/06/2020;42078.0;1359.0;1372.0;64.0;1.16
COL;South America;Colombia;10/06/2020;43682.0;1604.0;1433.0;61.0;1.16
COL;South America;Colombia;11/06/2020;45212.0;1530.0;1488.0;55.0;1.16
COL;South America;Colombia;12/06/2020;46858.0;1646.0;1545.0;57.0;1.2
COL;South America;Colombia;13/06/2020;48746.0;1888.0;1592.0;47.0;1.28
COL;South America;Colombia;14/06/2020;50939.0;2193.0;1667.0;75.0;1.34
COL;South America;Colombia;15/06/2020;53063.0;2124.0;1726.0;59.0;1.35
COL;South America;Colombia;16/06/2020;54931.0;1868.0;1801.0;75.0;1.34
COL;South America;Colombia;17/06/2020;57046.0;2115.0;1864.0;63.0;1.34
COL;South America;Colombia;18/06/2020;60217.0;3171.0;1950.0;86.0;1.39
COL;South America;Colombia;19/06/2020;63276.0;3059.0;2045.0;95.0;1.37
COL;South America;Colombia;20/06/2020;65633.0;2357.0;2126.0;81.0;1.32
COL;South America;Colombia;21/06/2020;68652.0;3019.0;2237.0;111.0;1.33
COL;South America;Colombia;22/06/2020;71183.0;2531.0;2310.0;73.0;1.3
COL;South America;Colombia;23/06/2020;73572.0;2389.0;2404.0;94.0;1.3
COL;South America;Colombia;24/06/2020;77113.0;3541.0;2491.0;87.0;1.32
COL;South America;Colombia;25/06/2020;80599.0;3486.0;2654.0;163.0;1.3
COL;South America;Colombia;26/06/2020;84442.0;3843.0;2811.0;157.0;1.3
COL;South America;Colombia;27/06/2020;88591.0;4149.0;2939.0;128.0;1.29
COL;South America;Colombia;28/06/2020;91769.0;3178.0;3178.0;239.0;1.24
COL;South America;Colombia;29/06/2020;95043.0;3274.0;3274.0;96.0;1.21
COL;South America;Colombia;30/06/2020;97846.0;2803.0;3334.0;60.0;1.18
COL;South America;Colombia;1/07/2020;102009.0;4163.0;3470.0;136.0;1.18
COL;South America;Colombia;2/07/2020;106110.0;4101.0;3641.0;171.0;1.14
COL;South America;Colombia;3/07/2020;109505.0;3395.0;3777.0;136.0;1.12
COL;South America;Colombia;4/07/2020;113389.0;3884.0;3942.0;165.0;1.14
COL;South America;Colombia;5/07/2020;117110.0;3721.0;4064.0;122.0;1.16
COL;South America;Colombia;6/07/2020;120281.0;3171.0;4210.0;146.0;1.18
COL;South America;Colombia;7/07/2020;124494.0;4213.0;4359.0;149.0;1.22
COL;South America;Colombia;8/07/2020;128638.0;4144.0;4527.0;168.0;1.24
COL;South America;Colombia;9/07/2020;133973.0;5335.0;4714.0;187.0;1.28
COL;South America;Colombia;10/07/2020;140776.0;6803.0;4925.0;211.0;1.31
COL;South America;Colombia;11/07/2020;145632.0;4856.0;5119.0;194.0;1.26
COL;South America;Colombia;12/07/2020;150445.0;4813.0;5307.0;188.0;1.24
COL;South America;Colombia;13/07/2020;154277.0;3832.0;5455.0;148.0;1.23
COL;South America;Colombia;14/07/2020;159898.0;5621.0;5625.0;170.0;1.28
COL;South America;Colombia;15/07/2020;165169.0;5271.0;5814.0;189.0;1.32
COL;South America;Colombia;16/07/2020;173206.0;8037.0;6029.0;215.0;1.38
COL;South America;Colombia;17/07/2020;182140.0;8934.0;6288.0;259.0;1.4
COL;South America;Colombia;18/07/2020;190700.0;8560.0;6516.0;228.0;1.36
COL;South America;Colombia;19/07/2020;197278.0;6578.0;6736.0;220.0;1.29
COL;South America;Colombia;20/07/2020;204005.0;6727.0;6929.0;193.0;1.24
COL;South America;Colombia;21/07/2020;211038.0;7033.0;7166.0;237.0;1.2
COL;South America;Colombia;22/07/2020;218428.0;7390.0;7373.0;207.0;1.17
COL;South America;Colombia;23/07/2020;226373.0;7945.0;7688.0;315.0;1.14
COL;South America;Colombia;24/07/2020;233541.0;7168.0;7975.0;287.0;1.13
COL;South America;Colombia;25/07/2020;240795.0;7254.0;8269.0;294.0;1.15
COL;South America;Colombia;26/07/2020;248976.0;8181.0;8525.0;256.0;1.2
COL;South America;Colombia;27/07/2020;257101.0;8125.0;8777.0;252.0;1.23
COL;South America;Colombia;28/07/2020;267385.0;10284.0;9074.0;297.0;1.25
COL;South America;Colombia;29/07/2020;276055.0;8670.0;9454.0;380.0;1.21
COL;South America;Colombia;30/07/2020;286020.0;9965.0;9810.0;356.0;1.2
COL;South America;Colombia;31/07/2020;295508.0;9488.0;10105.0;295.0;1.2
COL;South America;Colombia;1/08/2020;306181.0;10673.0;10330.0;225.0;1.21
COL;South America;Colombia;2/08/2020;317651.0;11470.0;10650.0;320.0;1.21
COL;South America;Colombia;3/08/2020;327850.0;10199.0;11017.0;367.0;1.17
COL;South America;Colombia;4/08/2020;334979.0;7129.0;11315.0;298.0;1.1
COL;South America;Colombia;5/08/2020;345714.0;10735.0;11624.0;309.0;1.11
COL;South America;Colombia;6/08/2020;357710.0;11996.0;11939.0;315.0;1.11
COL;South America;Colombia;7/08/2020;367204.0;9494.0;12250.0;311.0;1.09
COL;South America;Colombia;8/08/2020;376870.0;9666.0;12540.0;290.0;1.09
COL;South America;Colombia;9/08/2020;387481.0;10611.0;12842.0;302.0;1.12
COL;South America;Colombia;10/08/2020;397623.0;10142.0;13154.0;312.0;1.14
COL;South America;Colombia;11/08/2020;410453.0;12830.0;13475.0;321.0;1.15
COL;South America;Colombia;12/08/2020;422519.0;12066.0;13837.0;362.0;1.12
COL;South America;Colombia;13/08/2020;433805.0;11286.0;14145.0;308.0;1.08
COL;South America;Colombia;14/08/2020;445111.0;11306.0;14492.0;347.0;1.08
COL;South America;Colombia;15/08/2020;456689.0;11578.0;14810.0;318.0;1.06
COL;South America;Colombia;16/08/2020;468332.0;11643.0;15097.0;287.0;1.05
COL;South America;Colombia;17/08/2020;476660.0;8328.0;15372.0;275.0;1.03
COL;South America;Colombia;18/08/2020;489122.0;12462.0;15619.0;247.0;1.04
COL;South America;Colombia;19/08/2020;502178.0;13056.0;15979.0;360.0;1.03
COL;South America;Colombia;20/08/2020;513719.0;11541.0;16183.0;204.0;0.98
COL;South America;Colombia;21/08/2020;522138.0;8419.0;16568.0;385.0;0.94
COL;South America;Colombia;22/08/2020;533103.0;10965.0;16968.0;400.0;0.94
COL;South America;Colombia;23/08/2020;541139.0;8036.0;17316.0;348.0;0.93
COL;South America;Colombia;24/08/2020;551688.0;10549.0;17612.0;296.0;0.96
COL;South America;Colombia;25/08/2020;562113.0;10425.0;17889.0;277.0;0.94
COL;South America;Colombia;26/08/2020;572243.0;10130.0;18184.0;295.0;0.92
COL;South America;Colombia;27/08/2020;581995.0;9752.0;18467.0;283.0;0.9
COL;South America;Colombia;28/08/2020;590492.0;8497.0;18766.0;299.0;0.89
COL;South America;Colombia;29/08/2020;599884.0;9392.0;19063.0;297.0;0.88
COL;South America;Colombia;30/08/2020;607904.0;8020.0;19363.0;300.0;0.88
COL;South America;Colombia;31/08/2020;615094.0;7190.0;19662.0;299.0;0.89
COL;South America;Colombia;1/09/2020;624026.0;8932.0;20050.0;388.0;0.9
COL;South America;Colombia;2/09/2020;633321.0;9295.0;20345.0;295.0;0.9
COL;South America;Colombia;3/09/2020;641574.0;8253.0;20618.0;273.0;0.89
COL;South America;Colombia;4/09/2020;650063.0;8489.0;20888.0;270.0;0.89
COL;South America;Colombia;5/09/2020;658456.0;8393.0;21156.0;268.0;0.88
COL;South America;Colombia;6/09/2020;666521.0;8065.0;21412.0;256.0;0.88
COL;South America;Colombia;7/09/2020;671848.0;5327.0;21615.0;203.0;0.87
COL;South America;Colombia;8/09/2020;679513.0;7665.0;21817.0;202.0;0.87
COL;South America;Colombia;9/09/2020;686851.0;7338.0;22053.0;236.0;0.88
COL;South America;Colombia;10/09/2020;694664.0;7813.0;22275.0;222.0;0.89
COL;South America;Colombia;11/09/2020;702088.0;7424.0;22518.0;243.0;0.89
COL;South America;Colombia;12/09/2020;708964.0;6876.0;22734.0;216.0;0.89
COL;South America;Colombia;13/09/2020;716319.0;7355.0;22924.0;190.0;0.9
COL;South America;Colombia;14/09/2020;721892.0;5573.0;23123.0;199.0;0.91
COL;South America;Colombia;15/09/2020;728590.0;6698.0;23288.0;165.0;0.92
COL;South America;Colombia;16/09/2020;736377.0;7787.0;23478.0;190.0;0.94
COL;South America;Colombia;17/09/2020;743945.0;7568.0;23665.0;187.0;0.95
COL;South America;Colombia;18/09/2020;750471.0;6526.0;23665.0;0.0;0.94
COL;South America;Colombia;19/09/2020;758398.0;7927.0;24039.0;374.0;0.95
COL;South America;Colombia;20/09/2020;765076.0;6678.0;24208.0;169.0;0.94
COL;South America;Colombia;21/09/2020;770435.0;5359.0;24397.0;189.0;0.94
COL;South America;Colombia;22/09/2020;777537.0;7102.0;24397.0;0.0;0.95
COL;South America;Colombia;23/09/2020;784268.0;6731.0;24746.0;349.0;0.95
COL;South America;Colombia;24/09/2020;790823.0;6555.0;24746.0;0.0;0.96
COL;South America;Colombia;25/09/2020;798317.0;7494.0;25103.0;357.0;0.97
COL;South America;Colombia;26/09/2020;806038.0;7721.0;25296.0;193.0;0.97
COL;South America;Colombia;27/09/2020;813056.0;7018.0;25488.0;192.0;0.95
COL;South America;Colombia;28/09/2020;818203.0;5147.0;25641.0;153.0;0.93
COL;South America;Colombia;29/09/2020;824042.0;5839.0;25828.0;187.0;0.91
COL;South America;Colombia;30/09/2020;829679.0;5637.0;25998.0;170.0;0.91
COL;South America;Colombia;1/10/2020;835339.0;5660.0;26196.0;198.0;0.92
COL;South America;Colombia;2/10/2020;841532.0;6193.0;26397.0;201.0;0.96
COL;South America;Colombia;3/10/2020;848147.0;6615.0;26556.0;159.0;1.01
COL;South America;Colombia;4/10/2020;855052.0;6905.0;26712.0;156.0;1.06
COL;South America;Colombia;5/10/2020;862158.0;7106.0;26844.0;132.0;1.11
COL;South America;Colombia;6/10/2020;869808.0;7650.0;27017.0;173.0;1.13
COL;South America;Colombia;7/10/2020;877684.0;7876.0;27180.0;163.0;1.13
COL;South America;Colombia;8/10/2020;886179.0;8495.0;27180.0;0.0;1.12
COL;South America;Colombia;9/10/2020;894300.0;8121.0;27495.0;315.0;1.1
COL;South America;Colombia;10/10/2020;902747.0;8447.0;27660.0;165.0;1.09
COL;South America;Colombia;11/10/2020;911316.0;8569.0;27834.0;174.0;1.07
COL;South America;Colombia;12/10/2020;919084.0;7768.0;27985.0;151.0;1.02
COL;South America;Colombia;13/10/2020;924098.0;5014.0;28141.0;156.0;0.96
COL;South America;Colombia;14/10/2020;930159.0;6061.0;28306.0;165.0;0.95
COL;South America;Colombia;15/10/2020;936982.0;6823.0;28457.0;151.0;0.96
COL;South America;Colombia;16/10/2020;945354.0;8372.0;28616.0;159.0;0.99
COL;South America;Colombia;17/10/2020;952371.0;7017.0;28803.0;187.0;1.0
COL;South America;Colombia;18/10/2020;959572.0;7201.0;28970.0;167.0;1.02
COL;South America;Colombia;19/10/2020;965883.0;6311.0;29102.0;132.0;1.04
COL;South America;Colombia;20/10/2020;974139.0;8256.0;29272.0;170.0;1.09
